heading,subheading,name,option1,option2,option3,option4,correct_option
Biology and Its Branches,Sub-fields – Morphology & Anatomy,Which branch of Biology studies the outward appearance of organisms?,Anatomy,Physiology,Morphology,Genetics,Morphology
Biology and Its Branches,Sub-fields – Morphology & Anatomy,Anatomy helps in:,Classifying organisms into groups,"Disease diagnosis, medical device development, and improving quality of life",Studying the behaviour of animals,Analysing biological data using computers,"Disease diagnosis, medical device development, and improving quality of life"
Biology and Its Branches,Sub-fields – Morphology & Anatomy,Studying the organs of the digestive system is an example of:,Physiology,Morphology,Anatomy,Ecology,Anatomy
Biology and Its Branches,Sub-fields – Morphology & Anatomy,What is the main difference between Morphology and Anatomy?,Morphology only studies animals; Anatomy only studies plants,Morphology studies form and structure (inside and outside); Anatomy specifically explores internal physical structures,Anatomy studies fossils; Morphology studies living organisms,There is no difference between the two,Morphology studies form and structure (inside and outside); Anatomy specifically explores internal physical structures
Biology and Its Branches,Sub-fields – Physiology & Histology,Physiology deals with:,Outward appearance of organisms,Classification of organisms,Functioning of body parts,Study of cells,Functioning of body parts
Biology and Its Branches,Sub-fields – Physiology & Histology,The functioning of the blood circulatory system is an example studied in:,Histology,Physiology,Cytology,Morphology,Physiology
Biology and Its Branches,Sub-fields – Physiology & Histology,Histology is defined as:,Study of organs,Microscopic study of tissues,Study of fossils,Study of cells,Microscopic study of tissues
Biology and Its Branches,Sub-fields – Physiology & Histology,Tissues are defined as:,Individual cells,Groups of cells that have similar functions,Organs working together,Entire organ systems,Groups of cells that have similar functions
Biology and Its Branches,Sub-fields – Physiology & Histology,Tissue examination helps in all of the following EXCEPT:,Disease diagnosis,Drug studies,Understanding organ structure,Studying distribution of organisms,Studying distribution of organisms
Biology and Its Branches,Sub-fields – Cytology & Molecular Biology,Cytology is the study of:,Cells — the building blocks of life,Tissues and their functions,Fossils and their history,Distribution of organisms,Cells — the building blocks of life
Biology and Its Branches,Sub-fields – Cytology & Molecular Biology,Cytologists study all of the following EXCEPT:,Fundamental structures of cells,Organelles of cells,Mechanisms of cell division,Transfer of characteristics from parents to offspring,Transfer of characteristics from parents to offspring
Biology and Its Branches,Sub-fields – Cytology & Molecular Biology,The human body contains approximately how many cells?,3 trillion,30 trillion,300 billion,30 billion,30 trillion
Biology and Its Branches,Sub-fields – Cytology & Molecular Biology,Molecular Biology deals with the study of:,Study of fossils,"Biological molecules like carbohydrates, proteins, lipids, and nucleic acids",Study of distribution of organisms,Microscopic study of tissues,"Biological molecules like carbohydrates, proteins, lipids, and nucleic acids"
Biology and Its Branches,Sub-fields – Cytology & Molecular Biology,Which branch involves developing drugs and creating genetically modified organisms?,Ecology,Taxonomy,Molecular Biology,Palaeontology,Molecular Biology
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",Embryology is defined as:,Study of development of organism from a fertilized egg,Transfer of characteristics from parents to offspring,Outward appearance of organisms,Microscopic study of tissues,Study of development of organism from a fertilized egg
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",Identifying birth defects and developing medical treatments is associated with which branch?,Taxonomy,Ecology,Genetics,Embryology,Embryology
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",Genetics deals with:,Study of fossils,Classification of organisms,Transfer of characteristics from parents to offspring,Study of microorganisms,Transfer of characteristics from parents to offspring
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",Developing better varieties of plants and animals through the study of heredity belongs to:,Ecology,Genetics,Marine Biology,Pathology,Genetics
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",Palaeontology is the study of:,Living animals,Classification of organisms,Study of marine life,Fossils,Fossils
Biology and Its Branches,"Sub-fields – Embryology, Genetics & Palaeontology",The oldest known fossil is a Cyanobacterium estimated to be:,3.5 million years old,35 million years old,350 million years old,3.5 billion years old,3.5 billion years old
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Taxonomy is the branch that deals with:,Study of cells,Classification of organisms into groups based on similarities and differences,Functioning of body parts,Development from fertilized egg,Classification of organisms into groups based on similarities and differences
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Ecology helps in:,Classifying organisms,Conserving biodiversity and addressing environmental problems,Developing vaccines,Studying microorganisms,Conserving biodiversity and addressing environmental problems
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",The food chain illustrates which concept studied in Ecology?,Cell division,Drug development,Genetic transfer,Interconnectedness of organisms for energy and nutrients,Interconnectedness of organisms for energy and nutrients
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Marine Biology is the study of:,Freshwater organisms only,Life in oceans,Distribution of organisms in different geographical regions,Organisms from an economical point of view,Life in oceans
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Coral reefs support a wide variety of marine life. This is an example studied in:,Ecology,Taxonomy,Marine Biology,Biogeography,Marine Biology
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Pathology is the study of:,"Diseases, their causes, and effects",Classification of organisms,Drug development,Life in oceans,"Diseases, their causes, and effects"
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",A pathologist studying the uncontrolled division of cells causing cancer is working in:,Immunology,Genetics,Taxonomy,Pathology,Pathology
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Immunology is the branch in which we study:,Drug effects on the body,Classification of organisms,Components of the immune system and their role against diseases,Development of organisms from fertilized eggs,Components of the immune system and their role against diseases
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Developing vaccines and treating autoimmune diseases is the work of:,Pathologists,Immunologists,Ecologists,Embryologists,Immunologists
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",Pharmacology is the branch that studies:,Drugs and their effects on the body,Study of microorganisms,Study of fossils,Study of tissues,Drugs and their effects on the body
Biology and Its Branches,"Sub-fields – Taxonomy, Ecology, Marine Biology, Pathology, Immunology & Pharmacology",New antibiotics used to kill bacteria are developed through:,Genetics,Ecology,Cytology,Pharmacology,Pharmacology
Relation of Biology with Other Sciences,Biochemistry & Biophysics,Biochemistry is the study of:,Principles of physics applied to biological processes,Structure and reactions of chemical substances in living systems,Distribution of living organisms geographically,Use of statistical principles in biology,Structure and reactions of chemical substances in living systems
Relation of Biology with Other Sciences,Biochemistry & Biophysics,Which of the following is an example of Biochemistry?,Study of lever rules in muscles,Chemical reactions of photosynthesis and respiration,Distribution of organisms in the world,Use of computers to analyse DNA sequences,Chemical reactions of photosynthesis and respiration
Relation of Biology with Other Sciences,Biochemistry & Biophysics,Biophysics deals with:,Use of living organisms to develop products,Chemical reactions in living systems,Principles of Physics applied to biological processes,Statistical analysis of biological data,Principles of Physics applied to biological processes
Relation of Biology with Other Sciences,Biochemistry & Biophysics,Studying the rules of lever and motion to understand muscle and joint function belongs to:,Biochemistry,Biophysics,Biostatistics,Biotechnology,Biophysics
Relation of Biology with Other Sciences,Biochemistry & Biophysics,Biology + Physics = ?,Biochemistry,Biogeography,Biophysics,Biostatistics,Biophysics
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",Computational Biology uses:,Principles of statistics only,Chemical reactions,Distribution studies,"Mathematical models, algorithms, and computer simulations","Mathematical models, algorithms, and computer simulations"
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",Analysing the sequence of amino acids in a protein is an example of:,Computational Biology,Biogeography,Bio-economics,Immunology,Computational Biology
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",Biogeography deals with:,Use of living organisms to develop products,Distribution of living organisms in different geographical regions,Statistical analysis of data,Chemical reactions in living systems,Distribution of living organisms in different geographical regions
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",The influence of climate change on the distribution of organisms is studied in:,Biostatistics,Biochemistry,Biogeography,Bio-economics,Biogeography
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",Biostatistics deals with:,Developing new drugs,Using statistical principles to analyse and interpret data related to living organisms,Studying fossils,Classifying organisms,Using statistical principles to analyse and interpret data related to living organisms
Relation of Biology with Other Sciences,"Computational Biology, Biogeography & Biostatistics",Biostatistics plays a crucial role in all of the following EXCEPT:,Biological research,Healthcare,Public health,Classifying organisms into groups,Classifying organisms into groups
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,Biotechnology deals with:,Study of distribution of organisms,Use of living organisms or their components to develop beneficial products,Statistical analysis of biological data,Study of principles of physics in biology,Use of living organisms or their components to develop beneficial products
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,Bacteria used for production of insulin to treat diabetic patients is an example of:,Biostatistics,Biochemistry,Biotechnology,Bio-economics,Biotechnology
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,"Which interdisciplinary field of Biology is used in healthcare, agriculture, and environmental management?",Biophysics,Biogeography,Biostatistics,Biotechnology,Biotechnology
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,Bio-economics deals with:,Study of organisms from an economical point of view,Chemical reactions of organisms,Use of organisms to develop products,Statistical analysis of data,Study of organisms from an economical point of view
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,Calculating the cost and profit of producing a new variety of crops belongs to:,Biotechnology,Biostatistics,Biogeography,Bio-economics,Bio-economics
Relation of Biology with Other Sciences,Biotechnology & Bio-economics,Which field connects Biology with Economics?,Biophysics,Bio-economics,Biostatistics,Biogeography,Bio-economics
Careers in Biology,"Medicine, Surgery & Dentistry","For a career in Medicine and Surgery (MBBS), students must complete:",4-year BS degree,3-year diploma,"5-year Bachelor of Medicine, Bachelor of Surgery (MBBS)",4-year Bachelor of Dental Surgery,"5-year Bachelor of Medicine, Bachelor of Surgery (MBBS)"
Careers in Biology,"Medicine, Surgery & Dentistry",Surgery deals with:,Diagnosis of diseases only,"Repairing, replacing, or removing defective body parts",Studying effects of drugs,Treating dental diseases,"Repairing, replacing, or removing defective body parts"
Careers in Biology,"Medicine, Surgery & Dentistry",Dentists specialize in:,"Oral health, diagnosing and treating dental diseases",Treating diseases through drugs,Developing medical equipment,Studying microorganisms,"Oral health, diagnosing and treating dental diseases"
Careers in Biology,"Medicine, Surgery & Dentistry",The degree required for a career in Dentistry is:,5-year MBBS,4-year BS in Biology,4-year BS in Pharmacy,4-year Bachelor of Dental Surgery (BDS),4-year Bachelor of Dental Surgery (BDS)
Careers in Biology,"Pharmacology, Physiotherapy & Fisheries",Pharmacologists study:,Effects of exercise on the body,Effects of drugs on the human body and develop new medications,Distribution of organisms,Breeding of livestock,Effects of drugs on the human body and develop new medications
Careers in Biology,"Pharmacology, Physiotherapy & Fisheries",The degree required for a career in Pharmacology is:,MBBS,BDS,BS in Pharmacy or D.Pharm,BS in Agriculture,BS in Pharmacy or D.Pharm
Careers in Biology,"Pharmacology, Physiotherapy & Fisheries",Physiotherapy is used to:,Restore movement and physical function impaired by disease or injury,Develop new drugs,Study effects of radiation,Diagnose internal diseases,Restore movement and physical function impaired by disease or injury
Careers in Biology,"Pharmacology, Physiotherapy & Fisheries",Physiotherapists use which methods to improve patient movement?,Surgery and drugs,Chemical treatments,Gene therapy,Physical exercise and physical modalities such as massage,Physical exercise and physical modalities such as massage
Careers in Biology,"Pharmacology, Physiotherapy & Fisheries",Jobs in Fisheries and Wildlife departments require a degree in:,MBBS or BDS,"BS or MS in Zoology, Fisheries, or Aquaculture",BS in Agriculture,BS in Biotechnology,"BS or MS in Zoology, Fisheries, or Aquaculture"
Careers in Biology,"Agriculture, Animal Husbandry, Horticulture, Forestry & Farming",Agricultural scientists work on:,"Improving farming practices, crop production, and sustainable agriculture",Breeding and caring for livestock,Cultivating fruits and vegetables ornamentally,Managing and conserving forests,"Improving farming practices, crop production, and sustainable agriculture"
Careers in Biology,"Agriculture, Animal Husbandry, Horticulture, Forestry & Farming",Animal Husbandry involves:,Cultivating fruits and ornamental plants,Breeding and caring for livestock to improve quality and productivity,Managing forests,Developing medical equipment,Breeding and caring for livestock to improve quality and productivity
Careers in Biology,"Agriculture, Animal Husbandry, Horticulture, Forestry & Farming",Horticulturists cultivate:,Forests and wildlife,Livestock for food products,Crops for sustainable agriculture,"Fruits, vegetables, flowers, and ornamental plants","Fruits, vegetables, flowers, and ornamental plants"
Careers in Biology,"Agriculture, Animal Husbandry, Horticulture, Forestry & Farming",Foresters are professionals who:,Breed and care for livestock,Study chemical reactions in organisms,Manage and conserve forests and wildlife,Cultivate ornamental plants,Manage and conserve forests and wildlife
Careers in Biology,"Agriculture, Animal Husbandry, Horticulture, Forestry & Farming",Farming professionals grow crops and raise animals. The degree required is:,BS in Biotechnology,BS in Horticulture,BS in Forestry,4-year BS in Agriculture or specific farming courses,4-year BS in Agriculture or specific farming courses
Careers in Biology,Biotechnology & Forensics (Careers),Biotechnologists use biological processes to:,Study the distribution of organisms,"Develop products and technologies in medicine, agriculture, and more",Manage forests and wildlife,Study drug effects on the body,"Develop products and technologies in medicine, agriculture, and more"
Careers in Biology,Biotechnology & Forensics (Careers),The degree required for a career in Biotechnology is:,BDS,BS in Agriculture,4-year BS degree in Biotechnology,5-year MBBS,4-year BS degree in Biotechnology
Careers in Biology,Biotechnology & Forensics (Careers),Forensic scientists:,Analyse physical evidence from crime scenes in criminal investigations,Study the effects of drugs on the body,Breed and care for livestock,Manage forests,Analyse physical evidence from crime scenes in criminal investigations
Careers in Biology,Biotechnology & Forensics (Careers),The degree required for a career in Forensics is:,BS in Biology,BS in Chemistry,BS in Agriculture,4-year BS degree in Forensic Science,4-year BS degree in Forensic Science
Careers in Biology,Biotechnology & Forensics (Careers),Genetic Counselling as a career involves:,Improving crop varieties,Providing support to people on genetic conditions and testing,Developing antibiotics,Studying fossils,Providing support to people on genetic conditions and testing
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,The Quranic verse 'We made every living thing from water' is from:,"Sura Al-Ambia, Verse 30","Sura Al-Rehman, Verse 14","Sura Al-Mominoon, Verse 14","Sura Al-Nur, Verse 45","Sura Al-Ambia, Verse 30"
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,The average water content in different organisms ranges between:,10% to 30%,40% to 60%,60% to 90%,80% to 100%,60% to 90%
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,'He made man from clay like the potter' is from:,"Sura Al-Ambia, Verse 30","Sura Al-Rehman, Verse 14","Sura Al-Mominoon, Verse 14","Sura Al-Nur, Verse 45","Sura Al-Rehman, Verse 14"
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,"Sura Al-Mominoon, Verse 14 describes:",Creation of all living things from water,Creation of man from clay,"The stages of embryonic development: drop, clot, lump, bones, then flesh",Creation of animals and their diversity in locomotion,"The stages of embryonic development: drop, clot, lump, bones, then flesh"
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,"According to Sura Al-Nur, Verse 45, Allah created every animal from water. Some of them:",Fly in the air,"Creep on their bellies, walk on two legs, or walk on four legs",Swim only in water,Are created from clay,"Creep on their bellies, walk on two legs, or walk on four legs"
Quranic Instructions to Reveal the Study of Life,Quranic Instructions,The Quranic verses about creation hint at:,The chemical composition of water only,The common origin and development of all living beings,The importance of fossils,The classification of organisms,The common origin and development of all living beings
Science as a Collaborative Field,Collaborative Science & Human Genome Project,Science is described as a collaborative field because:,Scientists work alone in their own labs,Researchers from various disciplines work together to solve complex problems,Only biologists collaborate,Governments fund all scientific research,Researchers from various disciplines work together to solve complex problems
Science as a Collaborative Field,Collaborative Science & Human Genome Project,The Human Genome Project aimed to:,Sequence and map the entire human genome,Study the effects of climate change,Develop new vaccines,Create genetically modified organisms,Sequence and map the entire human genome
Science as a Collaborative Field,Collaborative Science & Human Genome Project,The Human Genome Project was completed in:,1990,1998,2003,2010,2003
Science as a Collaborative Field,Collaborative Science & Human Genome Project,The Human Genome Project involved researchers from which disciplines?,Only genetics and biology,"Molecular biology, genetics, informatics, and computer science",Only computer science,"Physics, chemistry, and biology","Molecular biology, genetics, informatics, and computer science"
Science as a Collaborative Field,"Climate Change, Medical Research, Robotics & Space Exploration",Climate change research requires collaboration among:,Only biologists,Only physicists and chemists,Only geographers,"Atmospheric science, ecology, economics, and sociology","Atmospheric science, ecology, economics, and sociology"
Science as a Collaborative Field,"Climate Change, Medical Research, Robotics & Space Exploration",Cancer research (Medical Research) involves collaboration between:,Only oncologists,"Oncologists, biologists, biochemists, geneticists, pharmacologists, and statisticians",Only geneticists and biologists,Only pharmacologists,"Oncologists, biologists, biochemists, geneticists, pharmacologists, and statisticians"
Science as a Collaborative Field,"Climate Change, Medical Research, Robotics & Space Exploration",The field of Robotics and AI is highly interdisciplinary. It involves:,Only computer science and engineering,Only mathematics and psychology,"Computer science, engineering, mathematics, neuroscience, and psychology",Only biology and chemistry,"Computer science, engineering, mathematics, neuroscience, and psychology"
Science as a Collaborative Field,"Climate Change, Medical Research, Robotics & Space Exploration",Which of the following is an advancement resulting from Robotics and AI collaboration?,Development of new vaccines,Autonomous vehicles and machine learning,Sequencing the human genome,Discovering new marine species,Autonomous vehicles and machine learning
Science as a Collaborative Field,"Climate Change, Medical Research, Robotics & Space Exploration",Space exploration organizations like NASA involve scientists from:,Only astrophysics,Only engineering,"Astrophysics, planetary science, engineering, Biology, and medicine",Only Biology and medicine,"Astrophysics, planetary science, engineering, Biology, and medicine"
Scientific Method,Recognition of a Problem & Observations,The correct sequence of steps in the scientific method is:,Hypothesis – observations – deduction – experiments,Observations – hypothesis – law – theory,Recognition of problem – observations – hypothesis – deduction – experiments – results,Law – theory – deduction – observations,Recognition of problem – observations – hypothesis – deduction – experiments – results
Scientific Method,Recognition of a Problem & Observations,The first step of the scientific method is:,Making observations,Recognition and definition of a scientific problem,Forming a hypothesis,Performing experiments,Recognition and definition of a scientific problem
Scientific Method,Recognition of a Problem & Observations,Scientists use which of the following to make observations?,Five senses only,Five senses and also reading previous research on related problems,Only laboratory instruments,Only previous research papers,Five senses and also reading previous research on related problems
Scientific Method,Recognition of a Problem & Observations,Qualitative observations are those that:,Cannot be measured with numbers,Involve measurements or numerical data,Are always more accurate than quantitative,Use instruments to measure,Cannot be measured with numbers
Scientific Method,Recognition of a Problem & Observations,The colour and texture of a flower is an example of:,Quantitative observation,Deduction,Hypothesis,Qualitative observation,Qualitative observation
Scientific Method,Recognition of a Problem & Observations,Why are quantitative observations considered more accurate than qualitative ones?,They are easier to make,They describe colour and texture precisely,"They are invariable, measurable, and can be recorded in terms of numbers",They do not require instruments,"They are invariable, measurable, and can be recorded in terms of numbers"
Scientific Method,Recognition of a Problem & Observations,The number of birds in a tree is an example of:,Qualitative observation,A hypothesis,Quantitative observation,A deduction,Quantitative observation
Scientific Method,Hypothesis & Deduction,A hypothesis is best described as:,A confirmed law of nature,A tentative answer to a scientific problem based on observations,A proven theory supported by experiments,A final conclusion of an experiment,A tentative answer to a scientific problem based on observations
Scientific Method,Hypothesis & Deduction,Which of the following is a characteristic of a good hypothesis?,It is always proved correct,It can be tested through experiments,It does not need to match observations,It cannot be disproved,It can be tested through experiments
Scientific Method,Hypothesis & Deduction,Which of the following is NOT a characteristic of a hypothesis?,It is a proposed statement to answer the problem,It matches with available observations,It can be tested through experiments,It is always proved correct by experiments,It is always proved correct by experiments
Scientific Method,Hypothesis & Deduction,Deductions in the scientific method are:,Final conclusions of experiments,Observations gathered using five senses,"Logical results derived from hypotheses, usually in 'if-then' format",Numerical data recorded from experiments,"Logical results derived from hypotheses, usually in 'if-then' format"
Scientific Method,Hypothesis & Deduction,"'If iron deficiency is causing symptoms, then adding iron will improve leaf colour' is an example of:",Hypothesis,Deduction,Observation,Result,Deduction
Scientific Method,Hypothesis & Deduction,The step that comes between making a hypothesis and doing experiments is:,Making deductions,Making observations,Summarizing results,Analysing data,Making deductions
Scientific Method,"Experiments, Control Group & Results","In a scientific experiment, the experimental group differs from the control group in that:",It has no variables,The variable being tested is changed or withheld,It always produces the expected result,It is used to record qualitative observations only,The variable being tested is changed or withheld
Scientific Method,"Experiments, Control Group & Results","In an experiment to test whether CO2 is necessary for photosynthesis, the plant NOT given CO2 is the:",Control group,Experimental group,Dependent variable,Independent variable,Experimental group
Scientific Method,"Experiments, Control Group & Results","In the malaria experiment, healthy persons were the:",Experimental group,Test subjects,Control group,Variable group,Control group
Scientific Method,"Experiments, Control Group & Results",In a successful experiment:,All hypotheses are proved correct,No hypothesis is proved,Only qualitative data is collected,One hypothesis is proved correct and alternates are proved incorrect,One hypothesis is proved correct and alternates are proved incorrect
Scientific Method,"Experiments, Control Group & Results","After gathering data from experiments, scientists use which tools to summarize results?",Statistical analyses and graphs,Only written descriptions,Only photographs,Personal judgement,Statistical analyses and graphs
Scientific Method,"Experiments, Control Group & Results",Scientists share their findings by:,Keeping them secret,Sharing only with students,Publishing only in local newspapers,Publishing in scientific journals and presenting at national/international meetings,Publishing in scientific journals and presenting at national/international meetings
Scientific Method,"Experiments, Control Group & Results",Which of the following is NOT a characteristic of the scientific method?,It relies on evidence,It involves formulating hypotheses,Hypothesis will always be correct,It requires rigorous testing,Hypothesis will always be correct
Theory and Law (Principle),Theory and Law,A hypothesis becomes a theory when:,It is supported by a single experiment,It is supported by extensive evidence and repeatedly validated by multiple researchers,It is proved incorrect,It is proposed by a famous scientist,It is supported by extensive evidence and repeatedly validated by multiple researchers
Theory and Law (Principle),Theory and Law,A scientific law is described as:,A hypothesis that has been rejected,A theory that is no longer valid,A uniform or constant fact of nature proved again and again by experiments,A single experiment's conclusion,A uniform or constant fact of nature proved again and again by experiments
Theory and Law (Principle),Theory and Law,Which of the following is an example of a biological law?,Hardy-Weinberg law and Mendel's laws of inheritance,Newton's laws of motion,Ohm's law,Law of conservation of energy,Hardy-Weinberg law and Mendel's laws of inheritance
Theory and Law (Principle),Theory and Law,The theory of evolution explains:,Chemical reactions in cells,How fossils are formed,Distribution of organisms,How species change over time through natural selection,How species change over time through natural selection
Theory and Law (Principle),Theory and Law,The correct order from tentative idea to established fact is:,Law → Theory → Hypothesis,Theory → Hypothesis → Law,Hypothesis → Theory → Law,Observation → Law → Hypothesis,Hypothesis → Theory → Law
Theory and Law (Principle),Theory and Law,Scientists keep testing theories because:,Theories are never correct,They try their best to disprove the theory to confirm its correctness,They want to find new hypotheses only,Laws are more important than theories,They try their best to disprove the theory to confirm its correctness
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,"In human history, malaria has killed more people than:",Any other disease,All wars combined,All natural disasters combined,All epidemics of plague,Any other disease
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,"In the late 19th century, which microorganism was found in the blood of malarial patients?",Bacteria,Plasmodium,Amoeba,Virus,Plasmodium
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,Who first discovered the microorganism Plasmodium in the blood of a malarial patient?,Ronald Ross,A.F.A. King,Laveran,Pasteur,Laveran
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,The hypothesis formed for Biological Problem 1 (cause of malaria) was:,Plasmodium is the cause of malaria,Marshy water causes malaria,Mosquitoes cause malaria,Quinine causes malaria,Plasmodium is the cause of malaria
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,The deduction made from the hypothesis 'Plasmodium is the cause of malaria' was:,"If Plasmodium causes malaria, then all malarial patients should have Plasmodium in their blood","If marshy water causes malaria, then patients near marshes will have Plasmodium","If quinine kills Plasmodium, then all patients will recover","If mosquitoes transmit Plasmodium, then mosquitoes should carry it","If Plasmodium causes malaria, then all malarial patients should have Plasmodium in their blood"
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,"To test the deduction in Problem 1, biologists examined blood samples of:",50 patients and 50 healthy persons,100 malarial patients and 100 healthy persons,200 patients only,50 animals and 50 humans,100 malarial patients and 100 healthy persons
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,"In the Problem 1 experiment, which was the control group?",Malarial patients,Healthy persons,Mosquitoes,Animals with malaria,Healthy persons
Malaria – An Example of Biological Method,Biological Problem 1: Cause of Malaria,The result of the Problem 1 experiment was:,No Plasmodium was found in any patient,Plasmodium was found in all healthy persons,"Most malarial patients had Plasmodium in their blood, proving the hypothesis",Quinine was found in the blood of patients,"Most malarial patients had Plasmodium in their blood, proving the hypothesis"
Malaria – An Example of Biological Method,Biological Problem 2: How Plasmodium Enters Human Blood,"In 1883, physician A.F.A. King listed how many observations about malaria?",20,10,15,25,20
Malaria – An Example of Biological Method,Biological Problem 2: How Plasmodium Enters Human Blood,Which observation was made by A.F.A. King regarding malaria?,Drinking marshy water causes malaria,Plasmodium is found in blood,People sleeping under fine mosquito nets had less chance of getting malaria,Quinine kills the parasite in the body,People sleeping under fine mosquito nets had less chance of getting malaria
Malaria – An Example of Biological Method,Biological Problem 2: How Plasmodium Enters Human Blood,People who slept near a smoky fire usually did not get malaria because:,Smoke kills Plasmodium in their blood,Fire increases temperature and Plasmodium are killed in air,Mosquitoes cannot tolerate smoke and are repelled,Smoke kills Plasmodium present in mosquitoes,Mosquitoes cannot tolerate smoke and are repelled
